Antecedent_decoded,Consequent_decoded,Support,Confidence,Lift
"('Breakfast & Brunch', 'Sandwiches')","('American (Traditional)',)",0.02652194576032133,0.560523587350959,2.2978740449813158
"('American (New)', 'Seafood')","('Mexican',)",0.022532922473133116,0.42313450023030863,2.2952333695508433
"('American (Traditional)', 'Seafood')","('Breakfast & Brunch',)",0.023912676876849254,0.45285100452909066,2.2946491240913582
"('American (New)', 'Breakfast & Brunch')","('Mexican',)",0.029351975348387987,0.4228730453220249,2.293815144306154
"('Coffee & Tea', 'Mexican')","('American (New)',)",0.023143080531665364,0.5846177677949035,2.293004003192534
"('American (Traditional)', 'Seafood')","('Mexican',)",0.022278434438669916,0.42190221809313666,2.288549029038786
"('Sandwiches', 'Seafood')","('American (New)',)",0.021134771344034096,0.5834109183241643,2.2882704647677716
"('Italian', 'Pizza')","('American (Traditional)',)",0.023517147281117295,0.557696502581255,2.286284372643054
"('Mexican', 'Pizza')","('American (Traditional)',)",0.026978797773996227,0.555878450944469,2.278831245311963
"('American (New)', 'Sandwiches')","('American (Traditional)',)",0.03172515292277975,0.5553051038480117,2.2764808011175606
"('American (Traditional)', 'Italian')","('American (New)',)",0.03039445645341796,0.5790980254702652,2.2713543169458665
"('Breakfast & Brunch', 'Seafood')","('American (Traditional)',)",0.023912676876849254,0.5534738485558158,2.2689735452221247
"('American (Traditional)', 'Burgers')","('American (New)',)",0.025746217173343144,0.5775500378292867,2.2652827569400107
"('American (Traditional)', 'Coffee & Tea')","('American (New)',)",0.02766560885495715,0.5772134083930399,2.2639624196402774
"('Italian', 'Pizza')","('American (New)',)",0.024320470956169803,0.5767468915872901,2.2621326345019024
"('American (New)', 'Pizza')","('American (Traditional)',)",0.03190912017660856,0.5511014615547553,2.259247912550444
"('Pizza', 'Sandwiches')","('American (New)',)",0.02459642183691303,0.5750537634408602,2.2554918003850655
"('Breakfast & Brunch', 'Sandwiches')","('American (New)',)",0.027171963390516488,0.5742612752721616,2.2523834813372834
"('Mexican', 'Sandwiches')","('American (New)',)",0.02592098606448052,0.5717570674962802,2.242561408230302
"('Mexican', 'Seafood')","('American (New)',)",0.022532922473133116,0.5715063379734039,2.241577989950282
"('Breakfast & Brunch', 'Coffee & Tea')","('American (New)',)",0.02543960508362845,0.5700838257523706,2.2359985731122975
"('American (New)', 'Seafood')","('American (Traditional)',)",0.028692759355501387,0.5388070013818517,2.2088466064040126
"('American (New)', 'Coffee & Tea')","('American (Traditional)',)",0.02766560885495715,0.5377234803337306,2.2044046971786844
"('Breakfast & Brunch', 'Coffee & Tea')","('American (Traditional)',)",0.023973999294792193,0.5372406211350832,2.202425209348036
"('Breakfast & Brunch', 'Seafood')","('American (New)',)",0.02419169387848963,0.5599318714072813,2.1961802965632957
"('Breakfast & Brunch', 'Mexican')","('American (Traditional)',)",0.028110196385043463,0.533705902899057,2.187934584021682
"('American (New)', 'Italian')","('American (Traditional)',)",0.03039445645341796,0.5336742934051144,2.187805000472756
"('American (New)', 'Mexican')","('American (Traditional)',)",0.03357708994465652,0.5334404988065663,2.186846556346614
"('Breakfast & Brunch', 'Mexican')","('American (New)',)",0.029351975348387987,0.5572825707300035,2.185789136059276
"('American (Traditional)', 'Sandwiches')","('American (New)',)",0.03172515292277975,0.5538486243442887,2.1723204164223544
"('American (Traditional)', 'Pizza')","('American (New)',)",0.03190912017660856,0.5524178565741281,2.166708619440898
"('Mexican', 'Pizza')","('American (New)',)",0.026708979135047294,0.5503190346831764,2.1584765620812787
