Antecedent,Consequent,Support,Confidence,Lift,Antecedent_decoded,Consequent_decoded
"(np.int64(4), np.int64(24), np.int64(138))","(np.int64(104),)",0.010257100551891237,0.4741754822650902,3.260505051598811,"('American (Traditional)', 'Burgers', 'Pizza')","('Italian',)"
"(np.int64(4), np.int64(104), np.int64(154))","(np.int64(138),)",0.010001346076187911,0.5273243435060326,3.2504916593978725,"('American (Traditional)', 'Italian', 'Seafood')","('Pizza',)"
"(np.int64(4), np.int64(18), np.int64(24))","(np.int64(104),)",0.01010903217122089,0.4717336683417085,3.2437147557483827,"('American (Traditional)', 'Breakfast & Brunch', 'Burgers')","('Italian',)"
"(np.int64(83), np.int64(138))","(np.int64(24),)",0.010243639790012115,0.46149181322013344,3.23955653445372,"('Grocery', 'Pizza')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(122))","(np.int64(104),)",0.014901063400188451,0.46867061812023714,3.2226527415913013,"('American (New)', 'American (Traditional)', 'Mexican')","('Italian',)"
"(np.int64(18), np.int64(67))","(np.int64(24),)",0.011172432359671558,0.45881702598120505,3.220780200334851,"('Breakfast & Brunch', 'Fast Food')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(151))","(np.int64(138),)",0.014228025306232333,0.5222332015810276,3.2191092387532807,"('American (New)', 'American (Traditional)', 'Sandwiches')","('Pizza',)"
"(np.int64(3), np.int64(4), np.int64(18))","(np.int64(104),)",0.014053035401803741,0.4673231871083259,3.213387594435166,"('American (New)', 'American (Traditional)', 'Breakfast & Brunch')","('Italian',)"
"(np.int64(3), np.int64(4), np.int64(24))","(np.int64(138),)",0.013689594831067438,0.5202046035805626,3.20660471291072,"('American (New)', 'American (Traditional)', 'Burgers')","('Pizza',)"
"(np.int64(18), np.int64(83))","(np.int64(24),)",0.010014806838067035,0.4561618638871858,3.2021416298005327,"('Breakfast & Brunch', 'Grocery')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(18))","(np.int64(24),)",0.01370305559294656,0.4556848701880036,3.1987932539229695,"('American (New)', 'American (Traditional)', 'Breakfast & Brunch')","('Burgers',)"
"(np.int64(18), np.int64(104), np.int64(151))","(np.int64(3),)",0.010055189123704402,0.738872403560831,3.1939270837038363,"('Breakfast & Brunch', 'Italian', 'Sandwiches')","('American (New)',)"
